File ADT# Time#1       Time#2       Time#3      Ignore
File1 1   1.4e-05     3e-06     2e-06     0      
File2 1   1.3e-05     3e-06     3e-06     0      
File3 1   1.1e-05     2e-06     1e-06     0      
File4 1   1.4e-05     3e-06     2e-06     1e-06      
File1 2   0.0022     2e-06     1e-06     0      
File2 2   0.002257     2e-06     1e-06     0      
File3 2   0.002154     3e-06     2e-06     0      
File4 2   0.00214     2e-06     1e-06     0      
File1 3   2e-05     3.4e-05     4e-06     0      
File2 3   1.5e-05     4e-06     1e-06     0      
File3 3   1.6e-05     5e-06     2e-06     0      
File4 3   1.5e-05     4e-06     2e-06     0      
File1 4   8e-06     2e-06     1e-06     0      
File2 4   7e-06     1e-06     1e-06     0      
File3 4   8e-06     2e-06     1e-06     0      
File4 4   7e-06     1e-06     1e-06     0      
File1 5   1.3e-05     4e-06     1e-06     0      
File2 5   1.3e-05     3e-06     1e-06     0      
File3 5   1.6e-05     4e-06     1e-06     0      
File4 5   1.4e-05     4e-06     2e-06     0      
File1 6   9e-06     2e-06     1e-06     0      
File2 6   9e-06     2e-06     1e-06     0      
File3 6   9e-06     3e-06     1e-06     0      
File4 6   9e-06     2e-06     1e-06     0      
