File ADT# Time#1       Time#2       Time#3      Ignore
File1 1   0.057216     0.052685     0.051229     0      
File2 1   73.9086     74.7493     74.9107     0      
File3 1   0.042204     0.039117     0.037453     0      
File4 1   49.3464     50.944     50.6094     0      
File1 2   0.040503     0.037917     0.037953     0      
File2 2   344.096     342.833     343.75     0      
File3 2   0.051034     0.048705     0.048631     0      
File4 2   172.515     207.906     208.746     0      
File1 3   0.032252     0.032406     0.031527     0      
File2 3   0.030995     0.030219     0.03008     0      
File3 3   0.030659     0.030212     0.030249     0      
File4 3   0.0335     0.033234     0.033015     0      
File1 4   0.046016     0.045312     0.044958     0      
File2 4   0.036466     0.03604     0.03609     0      
File3 4   0.036437     0.036233     0.036197     0      
File4 4   0.040604     0.03899     0.038821     0      
File1 5   0.034493     0.034029     0.034388     0      
File2 5   0.033245     0.033329     0.032642     0      
File3 5   0.033487     0.032943     0.032518     2e-05      
File4 5   0.036128     0.03532     0.035107     1e-06      
File1 6   0.027905     0.028033     0.028128     0      
File2 6   0.027941     0.027328     0.027158     0      
File3 6   0.027808     0.027354     0.027253     1e-06      
File4 6   0.030273     0.029742     0.029625     0      
